exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Single Arm Kettlebell Overhead Contralateral Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Suitcase Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Kettlebell Goblet Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Kettlebell Horn Grip March,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Horn Grip,Balance
Single Arm Dumbbell Front Raise,Beginner,Shoulders,Dumbbell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Suspension Hamstring Curl,Novice,Hamstrings,Suspension Trainer,No Arms,Continuous,No Grip,Unsorted*
Suspension Single Leg Hamstring Curl,Intermediate,Hamstrings,Suspension Trainer,No Arms,Continuous,No Grip,Bodybuilding
Superband Prone Hamstring Curl,Beginner,Hamstrings,Superband,No Arms,Continuous,No Grip,Bodybuilding
Cable Prone Hamstring Curl,Beginner,Hamstrings,Cable,No Arms,Continuous,No Grip,Bodybuilding
Superband Prone Bench Hamstring Curl,Novice,Hamstrings,Superband,No Arms,Continuous,No Grip,Bodybuilding
Single Arm Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Single Arm,Continuous,Supinated,Bodybuilding
Single Arm Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Ring Dips,Advanced,Triceps,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Single Arm Push Up,Advanced,Chest,Bodyweight,Single Arm,Continuous,Flat Palm,Calisthenics
Bodyweight Aztec Push Up,Advanced,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Plyometric
Slider Barbell Front Rack Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Double Kettlebell Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Suspension Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Landmine Goblet Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Slider Barbell Overhead Curtsy Lunge,Advanced,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Barbell Back Rack Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Barbell Zercher Curtsy Lunge,Advanced,Quadriceps,Sliders,Double Arm,Continuous,No Grip,Bodybuilding
Slider Bulgarian Bag Back Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Kettlebell Suitcase Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Kettlebell Overhead Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Slider Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Bottoms Up,Bodybuilding
Slider Double Kettlebell Bottoms Up Overhead Curtsy Lunge,Advanced,Quadriceps,Sliders,Double Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Double Dumbbell Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Dumbbell Suitcase Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Dumbbell Overhead Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Dumbbell Goblet Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Slider Kettlebell Horn Grip Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Horn Grip,Bodybuilding
Slider Kettlebell Goblet Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Slider Clubbell Order Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Clubbell Order Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Macebell Order Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Curtsy Lunge,Beginner,Quadriceps,Sliders,No Arms,Continuous,No Grip,Calisthenics
Slider Plate Overhead Curtsy Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Sandbag Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Sandbag Back Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Kettlebell Goblet Cyclist Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Kettlebell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Kettlebell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Dumbbell Goblet Walking Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Ring Maltese,Grand Master,Abdominals,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Barbell Front Rack Curtsy Lunge,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Front Rack Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Curtsy Lunge,Novice,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Overhead Curtsy Lunge,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Back Rack Curtsy Lunge,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Zercher Curtsy Lunge,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Double Kettlebell Suitcase Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Dumbbell Front Rack Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Dumbbell Goblet Curtsy Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Kettlebell Horn Grip Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Kettlebell Goblet Curtsy Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Clubbell Order Curtsy Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Curtsy Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Contralateral Curtsy Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Macebell Order Curtsy Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Curtsy Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Plate Overhead Curtsy Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Curtsy Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Back Rack Curtsy Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Curtsy Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Ring Archer Pull Up,Advanced,Back,Gymnastic Rings,Double Arm,Alternating,Pronated,Calisthenics
Barbell Single Leg Bent Knee Bicep Curl,Advanced,Biceps,Barbell,Double Arm,Continuous,Supinated,Bodybuilding
Bodyweight Freestanding Handstand ,Advanced,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Bodyweight Wall Eccentric Straddle Press Handstand,Advanced,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Kettlebell Horn Grip Carry,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Horn Grip,Unsorted*
Kettlebell Goblet Carry,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Goblet,Unsorted*
Dumbbell Goblet Carry,Novice,Abdominals,Dumbbell,Double Arm,Continuous,Goblet,Unsorted*
Single Arm Ring Feet Elevated Row,Advanced,Back,Gymnastic Rings,Single Arm,Continuous,Neutral,Calisthenics
Double Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Dead Half Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Alternating Single Arm Kettlebell Dead Half Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Alternating Single Arm Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Single Arm Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Double Kettlebell Start Stop Snatch,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Alternating Single Arm Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Double Kettlebell Start Stop Swing,Novice,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Ring L Sit Pull Up,Advanced,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Suspension Skater Jump,Intermediate,Abductors,Suspension Trainer,Double Arm,Continuous,Neutral,Plyometric
Double Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Alternating Single Arm Kettlebell Start Stop Clean,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Neutral,Ballistics
Clubbell Staggered Stance Rotational Swing,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Clubbell Staggered Stance Rotational Clean,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Clubbell Staggered Stance Rotational Clean to Forward Lunge,Advanced,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Ring Bulgarian Pull Up,Advanced,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Ring Bulgarian L Sit Pull Up,Advanced,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Landmine Split Snatch,Advanced,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Hang Power Clean,Intermediate,Glutes,Dumbbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Barbell Bicep Curl,Advanced,Biceps,Barbell,Single Arm,Continuous,Supinated,Bodybuilding
Ring False Grip Pull Up,Advanced,Back,Gymnastic Rings,Double Arm,Continuous,False Grip,Calisthenics
Slider Kettlebell Goblet Lateral Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Ring Feet Elevated Pike Push Up,Advanced,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Landmine Split Clean,Advanced,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Squat Clean,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Ballistics
Double Dumbbell Hang Squat Clean,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Landmine Split Jerk,Advanced,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Single Arm Kettlebell Ipsilateral Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,Single Arm,Continuous,Neutral,Ballistics
Double Clubbell Hammer Swing,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Ring Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Ring Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Barbell Split Clean,Expert,Glutes,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Dumbbell Hang Split Clean,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Ballistics
Ring Archer Push Up,Advanced,Chest,Gymnastic Rings,Double Arm,Alternating,Neutral,Calisthenics
Wall Ball Half Kneeling Lateral Toss,Novice,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Wall Ball Split Squat Isometric Lateral Toss,Intermediate,Abdominals,Wall Ball,Double Arm,Continuous,Neutral,Unsorted*
Superband Assisted Bar Muscle Up,Advanced,Back,Superband,Double Arm,Continuous,False Grip,Calisthenics
Parallette Push Up to L Sit,Advanced,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Barbell Bent Press,Advanced,Shoulders,Barbell,Single Arm,Continuous,Neutral,Grinds
Single Arm Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Alternating Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Sots Press,Advanced,Shoulders,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Single Arm Kettlebell Half Kneeling Half Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Ring Alternating Reach Push Up,Advanced,Chest,Gymnastic Rings,Double Arm,Alternating,Pronated,Calisthenics
Double Kettlebell Outside Snatch,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Outside Half Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Single Arm Kettlebell Outside Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Ring L Sit Dips,Advanced,Triceps,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
